"","SAMPLE","GROUP","GENE","SEQ_COUNT","COPY_COUNT","SEQ_FREQ","COPY_FREQ"
"1084","CS_IMM26","CS_IMM","IGHV1-34",14,14,0.00243478260869565,0.00133587786259542
"1085","RA_CTRL1","RA_CTRL","IGHV1-77",10,14,0.00320924261874198,0.0031496062992126
"1086","RA_CTRL3","RA_CTRL","IGHV1-5",14,14,0.0029093931837074,0.00194120909595119
"1087","RA_IMM12","RA_IMM","IGHV1-31",13,14,0.00316455696202532,0.00233450058362515
"1088","RA_IMM5","RA_IMM","IGHV5-9-1",14,14,0.00220820189274448,0.00108636610537751
"1089","RA_IMM5","RA_IMM","IGHV7-1",12,14,0.00189274447949527,0.00108636610537751
"1090","RA_IMM6","RA_IMM","IGHV2-3",11,14,0.00151452567809445,0.00107708878288968
"1091","RA_IMM6","RA_IMM","IGHV5-15",13,14,0.00178989398320253,0.00107708878288968
"1092","RA_IMM8","RA_IMM","IGHV1-47",13,14,0.00180756395995551,0.00105445507268208
"1093","RA_IMM8","RA_IMM","IGHV9-2",12,14,0.00166852057842047,0.00105445507268208
"1094","CS_CTRL14","CS_CTRL","IGHV1-19",9,13,0.00325732899022801,0.00332821300563236
"1095","CS_CTRL14","CS_CTRL","IGHV1-64",13,13,0.00470503076366269,0.00332821300563236
"1096","CS_CTRL14","CS_CTRL","IGHV1-75",13,13,0.00470503076366269,0.00332821300563236
"1097","CS_CTRL14","CS_CTRL","IGHV10-1",13,13,0.00470503076366269,0.00332821300563236
"1098","CS_CTRL14","CS_CTRL","IGHV14-3",13,13,0.00470503076366269,0.00332821300563236
"1099","CS_CTRL14","CS_CTRL","IGHV9-4",12,13,0.00434310532030402,0.00332821300563236
"1100","CS_CTRL15","CS_CTRL","IGHV15-2",9,13,0.00422535211267606,0.00277659120034173
"1101","CS_CTRL15","CS_CTRL","IGHV3-5",12,13,0.00563380281690141,0.00277659120034173
"1102","CS_CTRL16","CS_CTRL","IGHV2-3",12,13,0.0036979969183359,0.00257885340210276
"1103","CS_IMM17","CS_IMM","IGHV9-4",13,13,0.00276890308839191,0.00136669470142977
"1104","CS_IMM18","CS_IMM","IGHV1-12",13,13,0.00544844928751048,0.0039561777236762
"1105","CS_IMM18","CS_IMM","IGHV1-62-3",13,13,0.00544844928751048,0.0039561777236762
"1106","CS_IMM21","CS_IMM","IGHV1-74",13,13,0.00221767314909587,0.00143916749695561
"1107","CS_IMM21","CS_IMM","IGHV3-1",13,13,0.00221767314909587,0.00143916749695561
"1108","CS_IMM21","CS_IMM","IGHV5-16",10,13,0.00170590242238144,0.00143916749695561
"1109","CS_IMM22","CS_IMM","IGHV6-3",10,13,0.00177809388335704,0.00138711054204012
"1110","CS_IMM23","CS_IMM","IGHV1-31",12,13,0.00393184796854522,0.00290567724631203
"1111","CS_IMM24","CS_IMM","IGHV2-3",11,13,0.00495049504950495,0.00391920410009044
"1112","CS_IMM26","CS_IMM","IGHV1-85",11,13,0.00191304347826087,0.00124045801526718
"1113","CS_IMM26","CS_IMM","IGHV5-9-1",12,13,0.00208695652173913,0.00124045801526718
"1114","CS_IMM26","CS_IMM","IGHV6-7",13,13,0.00226086956521739,0.00124045801526718
"1115","RA_CTRL1","RA_CTRL","IGHV1-22",13,13,0.00417201540436457,0.00292463442069741
"1116","RA_CTRL1","RA_CTRL","IGHV1-50",12,13,0.00385109114249037,0.00292463442069741
"1117","RA_CTRL1","RA_CTRL","IGHV2-5",12,13,0.00385109114249037,0.00292463442069741
"1118","RA_CTRL1","RA_CTRL","IGHV2-7",12,13,0.00385109114249037,0.00292463442069741
"1119","RA_CTRL1","RA_CTRL","IGHV2-9-1",13,13,0.00417201540436457,0.00292463442069741
"1120","RA_CTRL2","RA_CTRL","IGHV3-5",9,13,0.00183038438071995,0.00132612465571764
"1121","RA_CTRL2","RA_CTRL","IGHV9-4",13,13,0.00264388854992882,0.00132612465571764
"1122","RA_CTRL3","RA_CTRL","IGHV5-16",9,13,0.00187032418952618,0.00180255130338325
"1123","RA_IMM11","RA_IMM","IGHV1-52",12,13,0.00267618198037467,0.0017447322507046
"1124","RA_IMM11","RA_IMM","IGHV1-63",11,13,0.00245316681534344,0.0017447322507046
"1125","RA_IMM12","RA_IMM","IGHV12-3",13,13,0.00316455696202532,0.00216775054193764
"1126","RA_IMM5","RA_IMM","IGHV1-50",13,13,0.00205047318611987,0.00100876852642198
"1127","RA_IMM5","RA_IMM","IGHV1-61",11,13,0.00173501577287066,0.00100876852642198
"1128","RA_IMM6","RA_IMM","IGHV8-8",11,13,0.00151452567809445,0.00100015386982613
"1129","RA_IMM8","RA_IMM","IGHV2-2",9,13,0.00125139043381535,0.00097913685320479
"1130","CS_CTRL14","CS_CTRL","IGHV12-3",12,12,0.00434310532030402,0.00307219662058372
"1131","CS_CTRL14","CS_CTRL","IGHV2-7",11,12,0.00398117987694535,0.00307219662058372
"1132","CS_CTRL14","CS_CTRL","IGHV5-16",9,12,0.00325732899022801,0.00307219662058372
"1133","CS_CTRL15","CS_CTRL","IGHV1-70",11,12,0.00516431924882629,0.00256300726185391
"1134","CS_CTRL15","CS_CTRL","IGHV1-74",11,12,0.00516431924882629,0.00256300726185391
"1135","CS_CTRL15","CS_CTRL","IGHV10-1",11,12,0.00516431924882629,0.00256300726185391
"1136","CS_CTRL15","CS_CTRL","IGHV9-1",12,12,0.00563380281690141,0.00256300726185391
"1137","CS_CTRL16","CS_CTRL","IGHV1-4",12,12,0.0036979969183359,0.00238048006347947
